slot,byteOffset,bpp8,palBank,hflip,vflip,isObj,brightAdjust,palHash,evy
0,0x00800,0,15,0,0,0,2,0xF986D940,0
1,0x00800,0,0,0,0,0,2,0x9E7F2258,0
2,0x00000,0,0,0,0,0,2,0x9E7F2258,0
3,0x00020,0,0,0,0,0,2,0x9E7F2258,0
4,0x00040,0,0,0,0,0,2,0x9E7F2258,0
5,0x00060,0,0,0,0,0,2,0x9E7F2258,0
6,0x00080,0,0,0,0,0,2,0x9E7F2258,0
7,0x000A0,0,0,0,0,0,2,0x9E7F2258,0
8,0x00400,0,0,0,0,0,2,0x9E7F2258,0
9,0x00420,0,0,0,0,0,2,0x9E7F2258,0
10,0x00440,0,0,0,0,0,2,0x9E7F2258,0
11,0x00460,0,0,0,0,0,2,0x9E7F2258,0
12,0x00480,0,0,0,0,0,2,0x9E7F2258,0
13,0x004A0,0,0,0,0,0,2,0x9E7F2258,0
14,0x000C0,0,15,0,0,0,2,0xF986D940,0
15,0x000E0,0,15,0,0,0,2,0xF986D940,0
16,0x00100,0,15,0,0,0,2,0xF986D940,0
17,0x00120,0,15,0,0,0,2,0xF986D940,0
18,0x00140,0,15,0,0,0,2,0xF986D940,0
19,0x00160,0,15,0,0,0,2,0xF986D940,0
20,0x00180,0,15,0,0,0,2,0xF986D940,0
21,0x004C0,0,15,0,0,0,2,0xF986D940,0
22,0x004E0,0,15,0,0,0,2,0xF986D940,0
23,0x00500,0,15,0,0,0,2,0xF986D940,0
24,0x00520,0,15,0,0,0,2,0xF986D940,0
25,0x00540,0,15,0,0,0,2,0xF986D940,0
26,0x00560,0,15,0,0,0,2,0xF986D940,0
27,0x00580,0,15,0,0,0,2,0xF986D940,0
28,0x001A0,0,15,0,0,0,2,0xF986D940,0
29,0x001C0,0,15,0,0,0,2,0xF986D940,0
30,0x001E0,0,15,0,0,0,2,0xF986D940,0
31,0x00200,0,15,0,0,0,2,0xF986D940,0
32,0x00220,0,15,0,0,0,2,0xF986D940,0
33,0x00240,0,15,0,0,0,2,0xF986D940,0
34,0x00260,0,15,0,0,0,2,0xF986D940,0
35,0x005A0,0,15,0,0,0,2,0xF986D940,0
36,0x005C0,0,15,0,0,0,2,0xF986D940,0
37,0x005E0,0,15,0,0,0,2,0xF986D940,0
38,0x00600,0,15,0,0,0,2,0xF986D940,0
39,0x00620,0,15,0,0,0,2,0xF986D940,0
40,0x00640,0,15,0,0,0,2,0xF986D940,0
41,0x00660,0,15,0,0,0,2,0xF986D940,0
42,0x00280,0,15,0,0,0,2,0xF986D940,0
43,0x002A0,0,15,0,0,0,2,0xF986D940,0
44,0x002C0,0,15,0,0,0,2,0xF986D940,0
45,0x002E0,0,15,0,0,0,2,0xF986D940,0
46,0x00300,0,15,0,0,0,2,0xF986D940,0
47,0x00320,0,15,0,0,0,2,0xF986D940,0
48,0x00680,0,15,0,0,0,2,0xF986D940,0
49,0x006A0,0,15,0,0,0,2,0xF986D940,0
50,0x006C0,0,15,0,0,0,2,0xF986D940,0
51,0x006E0,0,15,0,0,0,2,0xF986D940,0
52,0x00700,0,15,0,0,0,2,0xF986D940,0
53,0x00720,0,15,0,0,0,2,0xF986D940,0
54,0x00340,0,15,0,0,0,2,0xF986D940,0
55,0x00360,0,15,0,0,0,2,0xF986D940,0
56,0x00380,0,15,0,0,0,2,0xF986D940,0
57,0x003A0,0,15,0,0,0,2,0xF986D940,0
58,0x003C0,0,15,0,0,0,2,0xF986D940,0
59,0x003E0,0,15,0,0,0,2,0xF986D940,0
60,0x00740,0,15,0,0,0,2,0xF986D940,0
61,0x00760,0,15,0,0,0,2,0xF986D940,0
62,0x00780,0,15,0,0,0,2,0xF986D940,0
63,0x007A0,0,15,0,0,0,2,0xF986D940,0
64,0x007C0,0,15,0,0,0,2,0xF986D940,0
65,0x007E0,0,15,0,0,0,2,0xF986D940,0
66,0x10120,0,1,1,0,1,0,0xA987BF40,0
67,0x10100,0,1,1,0,1,0,0xA987BF40,0
68,0x100A0,0,1,0,0,1,0,0xA987BF40,0
69,0x100C0,0,1,0,0,1,0,0xA987BF40,0
70,0x100E0,0,1,0,0,1,0,0xA987BF40,0
71,0x104A0,0,1,0,0,1,0,0xA987BF40,0
72,0x104C0,0,1,0,0,1,0,0xA987BF40,0
73,0x104E0,0,1,0,0,1,0,0xA987BF40,0
74,0x10020,0,1,0,0,1,0,0xA987BF40,0
75,0x10040,0,1,0,0,1,0,0xA987BF40,0
76,0x10420,0,1,0,0,1,0,0xA987BF40,0
77,0x10440,0,1,0,0,1,0,0xA987BF40,0
78,0x10460,0,1,0,0,1,0,0xA987BF40,0
